,,,"Scarborough--Rouge Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   93827,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   82939,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.5,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    5600,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   80697,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   70887,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   14995,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  111410,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   98225,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.3,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    5060,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   62976,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   57600,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      3.0,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   26545,,,...,,..., 3689080,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  108135,,,...,,...,  115328,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   92237,,,...,,...,   94410,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    5575,,,...,,..., 1280580,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   95488,,,...,,...,  104425,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   79524,,,...,,...,   84952,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   15110,,,...,,..., 1717295,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  123332,,,...,,...,  140590,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  105181,,,...,,...,  114144,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    4985,,,...,,...,  581945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   75356,,,...,,...,   67748,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   66171,,,...,,...,   58742,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,    7710,,    3640,,    4070,, 1818815,,  867175,,  951640,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   30133,,   29752,,   30592,,   32097,,   33925,,   30753,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   27817,,   27285,,   28341,,   29417,,   30678,,   28442,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,    7715,,    3755,,    3960,, 1814575,,  864020,,  950555,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   41036,,   42294,,   39844,,   44298,,   46765,,   42057,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   34357,,   34401,,   34315,,   36874,,   38228,,   35644,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  101520,,   48995,,   52520,,13242160,, 6472205,, 6769955,
"Income of economic families in 2015","  In the bottom half of the distribution",,   48780,,   23140,,   25635,, 6335170,, 3016275,, 3318895,
"Income of economic families in 2015","    In the bottom decile",,    8575,,    4110,,    4465,, 1346645,,  651310,,  695335,
"Income of economic families in 2015","    In the second decile",,    9495,,    4425,,    5070,, 1280675,,  581380,,  699290,
"Income of economic families in 2015","    In the third decile",,   10205,,    4810,,    5395,, 1237415,,  583840,,  653575,
"Income of economic families in 2015","    In the fourth decile",,   10080,,    4770,,    5305,, 1223510,,  589740,,  633770,
"Income of economic families in 2015","    In the fifth decile",,   10425,,    5030,,    5400,, 1246925,,  610000,,  636930,
"Income of economic families in 2015","  In the top half of the distribution",,   52740,,   25850,,   26885,, 6906990,, 3455930,, 3451060,
"Income of economic families in 2015","    In the sixth decile",,   10790,,    5135,,    5650,, 1279095,,  629635,,  649465,
"Income of economic families in 2015","    In the seventh decile",,   10815,,    5295,,    5515,, 1321220,,  655840,,  665375,
"Income of economic families in 2015","    In the eighth decile",,   11060,,    5405,,    5650,, 1382795,,  691630,,  691165,
"Income of economic families in 2015","    In the ninth decile",,   11285,,    5590,,    5695,, 1464415,,  736030,,  728385,
"Income of economic families in 2015","    In the top decile",,    8800,,    4425,,    4375,, 1459465,,  742795,,  716670,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  101520,,   48995,,   52525,,13184055,, 6442930,, 6741130,
"Low income in 2015","  0 to 17 years",,   20405,,   10460,,    9950,, 2656535,, 1361905,, 1294630,
"Low income in 2015","    0 to 5 years",,    5940,,    3055,,    2885,,  835000,,  428025,,  406975,
"Low income in 2015","  18 to 64 years",,   65025,,   31095,,   33935,, 8418960,, 4110615,, 4308345,
"Low income in 2015","  65 years and over",,   16085,,    7445,,    8640,, 2108560,,  970405,, 1138155,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   12650,,    5915,,    6735,, 1898975,,  886530,, 1012445,
"Low income in 2015","  0 to 17 years",,    3850,,    1910,,    1940,,  489905,,  251830,,  238080,
"Low income in 2015","    0 to 5 years",,    1150,,     570,,     580,,  165140,,   84825,,   80310,
"Low income in 2015","  18 to 64 years",,    7295,,    3380,,    3910,, 1155315,,  538535,,  616780,
"Low income in 2015","  65 years and over",,    1510,,     625,,     885,,  253755,,   96170,,  157585,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     12.5,,     12.1,,     12.8,,     14.4,,     13.8,,     15.0,
"Low income in 2015","  0 to 17 years (%)",,     18.9,,     18.3,,     19.5,,     18.4,,     18.5,,     18.4,
"Low income in 2015","    0 to 5 years (%)",,     19.4,,     18.7,,     20.1,,     19.8,,     19.8,,     19.7,
"Low income in 2015","  18 to 64 years (%)",,     11.2,,     10.9,,     11.5,,     13.7,,     13.1,,     14.3,
"Low income in 2015","  65 years and over (%)",,      9.4,,      8.4,,     10.2,,     12.0,,      9.9,,     13.8,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   10350,,    4915,,    5435,, 1298590,,  627935,,  670650,
"Low income in 2015","  0 to 17 years",,    2960,,    1450,,    1510,,  304390,,  156575,,  147815,
"Low income in 2015","    0 to 5 years",,     910,,     460,,     450,,  102750,,   52810,,   49935,
"Low income in 2015","  18 to 64 years",,    6450,,    3095,,    3350,,  887640,,  430545,,  457095,
"Low income in 2015","  65 years and over",,     950,,     370,,     575,,  106555,,   40815,,   65740,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     10.2,,     10.0,,     10.3,,      9.8,,      9.7,,      9.9,
"Low income in 2015","  0 to 17 years (%)",,     14.5,,     13.9,,     15.2,,     11.5,,     11.5,,     11.4,
"Low income in 2015","    0 to 5 years (%)",,     15.3,,     15.1,,     15.6,,     12.3,,     12.3,,     12.3,
"Low income in 2015","  18 to 64 years (%)",,      9.9,,     10.0,,      9.9,,     10.5,,     10.5,,     10.6,
"Low income in 2015","  65 years and over (%)",,      5.9,,      5.0,,      6.7,,      5.1,,      4.2,,      5.8,

Symbols:
...,not applicable

Notes:
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;
,    *benefits from Employment Insurance and Québec parental insurance plan;
,    *child benefits from federal and provincial programs;
,    *social assistance benefits;
,    *workers' compensation benefits;
,    *Working income tax benefit;
,    *Goods and services tax credit and harmonized sales tax credit;
,    *other income from government sources.
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
