,,,"Scarborough Southwest [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   89500,,   42920,,   46580,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   84425,,   40470,,   43955,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   26549,,   28455,,   25226,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   84445,,   40475,,   43970,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   25108,,   26502,,   24033,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   69940,,   34460,,   35480,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   27694,,   30804,,   24940,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   64055,,   28725,,   35330,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    4179,,    1692,,    6182,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   58895,,   29750,,   29150,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   30390,,   32439,,   28243,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   89655,,   43010,,   46645,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   84585,,   40625,,   43960,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   38546,,   41991,,   35362,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   84600,,   40635,,   43965,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   32521,,   34739,,   30472,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   69855,,   34360,,   35495,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   39891,,   44390,,   35536,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   64150,,   28845,,   35305,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7385,,    6262,,    8302,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   59020,,   29875,,   29145,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   41361,,   44989,,   37642,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   89660,,   43010,,   46645,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   26135,,   14240,,   11895,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   50972,,   52075,,   50124,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   62805,,   66173,,   58773,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     85.5,,     89.4,,     81.1,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     74.4,,     78.1,,     70.4,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,     14.5,,     10.6,,     18.9,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   89505,,   42925,,   46580,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",,    5075,,    2450,,    2620,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,   84430,,   40470,,   43960,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     94.3,,     94.3,,     94.4,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   15585,,    7685,,    7900,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   17890,,    7815,,   10075,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   12390,,    5460,,    6930,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,    8995,,    4155,,    4845,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    7655,,    3735,,    3920,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    5605,,    2685,,    2925,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    4290,,    2220,,    2075,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    3205,,    1770,,    1435,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,    2275,,    1225,,    1050,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,    1925,,     990,,     935,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",,    4610,,    2740,,    1875,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",,    3205,,    1820,,    1380,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,    1405,,     920,,     490,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   89500,,   42920,,   46580,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",,    5055,,    2445,,    2610,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,   84450,,   40475,,   43970,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     94.4,,     94.3,,     94.4,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   15820,,    7765,,    8050,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",,   18480,,    8105,,   10380,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",,   13985,,    6255,,    7725,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",,   10680,,    5085,,    5595,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",,    8475,,    4070,,    4410,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",,    5825,,    2925,,    2900,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",,    3830,,    2130,,    1695,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",,    2730,,    1405,,    1325,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",,    4620,,    2730,,    1885,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,    1750,,     940,,     805,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,     855,,     515,,     345,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,    2010,,    1275,,     740,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   89505,,   42925,,   46585,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   30605,,   13170,,   17435,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,   58900,,   29750,,   29145,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     65.8,,     69.3,,     62.6,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,    8205,,    3920,,    4285,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    5220,,    2450,,    2775,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,    8745,,    4355,,    4390,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    6965,,    3325,,    3640,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    6180,,    3105,,    3075,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    5755,,    2845,,    2910,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    4390,,    2180,,    2210,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    3395,,    1795,,    1595,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    2625,,    1530,,    1095,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,    7420,,    4255,,    3165,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    1880,,    1050,,     825,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    1740,,     885,,     860,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,    3805,,    2320,,    1485,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   41450,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   59141,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   53383,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   11595,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   27968,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   26195,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   29855,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   75044,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   67306,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   41500,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   78561,,,...,,...,   97856,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   66296,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,   11615,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   38879,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   33071,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   29880,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   93987,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   79213,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   41450,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     775,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    1155,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1790,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2180,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2090,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2000,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    1980,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    1940,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2000,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    1790,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3290,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    2840,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2520,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2195,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1980,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",,   10920,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    3765,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    2485,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    2670,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,    2000,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   41450,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,     815,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    1165,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1810,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2235,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2260,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2240,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2200,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2285,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2245,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2110,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    3765,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    3180,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    2690,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    2385,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1890,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",,    8185,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    3535,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    2015,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",,    2640,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   28705,,,...,,..., 3689580,,,...,,...
